Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
1/1/2023,1,335,344,338,344,342,345,349,354,347,355,357,356,357,362,360,361,366,364,362,337,327,326,327
2/1/2023,340,342,338,89,74,78,84,81,87,91,103,100,107,107,132,131,138,148,182,184,159,153,159,162
3/1/2023,75,340,334,341,342,340,306,102,99,106,137,148,151,166,234,221,235,227,295,281,285,281,262,268
4/1/2023,349,350,356,356,355,355,288,94,128,144,221,241,273,287,397,394,437,433,527,547,519,525,565,569
5/1/2023,546,532,543,545,542,548,471,228,143,171,217,170,165,181,262,279,298,294,386,405,419,412,426,443
6/1/2023,562,549,552,548,551,553,486,389,219,180,206,182,438,439,535,538,569,567,664,674,567,393,409,437
7/1/2023,537,522,532,1,539,539,455,380,391,395,278,123,123,135,147,147,152,177,195,190,162,160,169,171
8/1/2023,543,259,254,258,255,255,175,96,96,102,110,108,111,108,122,122,134,160,163,154,132,119,127,133
9/1/2023,264,476,545,551,555,562,495,414,454,469,543,576,606,615,705,723,752,761,863,867,808,768,643,535
10/1/2023,573,563,563,568,558,568,353,129,162,190,252,281,303,321,397,333,351,348,434,453,429,435,459,475
11/1/2023,583,562,570,568,567,571,365,133,169,193,260,285,309,320,426,443,458,480,572,576,568,586,613,630
12/1/2023,569,568,569,571,555,557,342,116,158,182,263,319,336,358,464,457,494,477,570,592,571,573,601,642
13/01/2023,575,564,555,563,561,563,356,122,163,178,250,286,327,319,358,421,461,474,553,550,548,565,584,611
14/01/2023,548,541,546,544,543,554,559,564,582,584,590,589,597,606,619,625,630,653,680,686,669,660,465,360
15/01/2023,562,555,556,561,556,556,565,567,578,571,573,572,574,582,583,587,600,623,630,621,588,593,593,600
16/01/2023,274,275,304,303,277,283,310,304,367,388,430,396,379,397,474,519,543,560,641,653,652,666,713,716
17/01/2023,443,423,427,428,428,433,423,215,206,224,232,195,216,221,311,321,359,375,577,768,777,765,600,560
18/01/2023,437,432,434,436,436,429,323,166,206,230,296,327,349,358,450,473,484,514,569,521,502,501,535,562
19/01/2023,442,439,433,436,428,435,343,186,215,237,257,222,245,262,342,676,864,848,949,948,954,975,1000,1003
20/01/2023,447,612,621,619,621,624,399,184,217,239,256,198,214,231,319,333,346,376,468,462,474,492,523,527
21/01/2023,572,558,561,561,557,561,573,572,584,588,612,611,612,469,348,350,368,385,409,388,373,384,385,388
22/01/2023,563,270,271,275,266,271,183,102,107,110,115,118,112,115,119,128,139,162,168,160,127,130,133,142
23/01/2023,274,283,277,277,273,276,203,279,360,368,407,374,370,381,493,515,547,590,681,680,710,715,751,769
24/01/2023,590,583,582,578,575,580,477,423,447,476,497,446,469,495,589,610,643,673,776,785,812,829,866,904
25/01/2023,610,593,587,586,585,581,357,148,187,210,275,298,338,344,447,457,496,514,618,637,643,659,700,700
26/01/2023,602,584,592,593,579,586,445,162,194,210,224,202,230,246,330,354,395,392,495,508,528,543,578,606
27/01/2023,588,573,571,579,581,575,386,132,164,183,209,157,188,192,288,310,354,381,489,483,497,520,567,571
28/01/2023,580,564,569,568,569,568,488,402,404,412,427,422,432,431,308,184,197,203,201,193,188,213,226,237
29/01/2023,571,552,555,562,560,560,470,394,389,395,407,397,410,408,427,421,441,467,451,429,417,429,430,433
30/01/2023,561,272,274,275,276,286,197,132,165,190,219,199,309,345,450,467,507,543,616,660,667,699,730,741
31/01/2023,580,572,570,581,571,581,350,132,170,193,244,277,320,350,445,456,493,526,596,619,649,675,723,997
1/2/2023,591,589,586,581,567,570,492,420,465,479,552,574,594,377,742,767,784,801,854,856,805,821,853,864
2/2/2023,588,583,576,581,567,572,500,407,438,456,497,567,636,655,753,724,712,701,753,778,780,801,854,878
3/2/2023,405,395,391,395,396,385,410,405,440,466,528,517,510,454,563,577,626,634,705,732,748,774,796,802
4/2/2023,385,371,377,379,378,372,386,389,392,395,405,409,411,422,306,170,178,195,207,214,202,214,219,218
5/2/2023,394,384,390,401,427,428,430,431,431,435,438,438,443,444,461,455,469,464,461,460,457,463,467,474
6/2/2023,429,157,145,146,151,151,163,168,165,176,190,183,173,170,210,223,212,211,207,205,205,220,369,498
7/2/2023,573,565,563,555,559,558,328,300,329,355,384,364,355,374,491,517,550,532,643,671,690,721,775,853
8/2/2023,601,408,407,411,410,411,283,151,180,202,274,297,333,356,458,488,518,515,573,555,513,538,581,587
9/2/2023,427,408,417,416,411,406,379,167,186,220,275,320,364,388,495,520,533,518,619,650,650,674,726,746
10/2/2023,421,401,401,406,409,407,311,143,177,206,223,207,195,211,302,306,362,361,452,484,495,536,547,562
11/2/2023,404,393,393,394,394,389,400,403,403,418,273,138,153,161,187,185,205,210,227,220,225,241,247,249
12/2/2023,392,385,385,388,387,399,398,397,398,406,278,127,132,128,147,152,161,161,167,167,156,158,168,159
13/02/2023,568,387,396,390,390,337,153,151,183,205,274,309,369,373,461,486,498,516,626,676,695,717,748,748
14/02/2023,413,403,399,402,389,392,271,133,163,181,216,219,196,216,321,340,358,364,489,509,535,573,582,603
